,t_split,fst,seg1,seg2,tajima1,tajima2,pi1,pi2
0,4499.0,0.2535793153464422,0.385,0.155,0.385,0.155,0.08706101010101011,0.02285898989898992
1,5977.0,0.27830465828244877,0.408,0.148,0.408,0.148,0.08971959595959601,0.01977535353535353
2,7801.0,0.293639168237956,0.402,0.132,0.402,0.132,0.08593515151515159,0.02008565656565657
3,3786.0,0.13974863055969267,0.428,0.154,0.428,0.154,0.08352727272727273,0.03626424242424248
4,3286.0,0.12084103823910364,0.44,0.203,0.44,0.203,0.08198464646464639,0.04827232323232321
5,1288.0,0.03193790397270757,0.444,0.309,0.444,0.309,0.08246868686868682,0.07671919191919184
6,2878.0,0.08436590889791507,0.418,0.238,0.418,0.238,0.08571030303030298,0.06025838383838384
7,4756.0,0.23833885564496549,0.385,0.124,0.385,0.124,0.0795408080808081,0.017894141414141397
8,1723.0,0.04340047970449079,0.456,0.271,0.456,0.271,0.0898759595959596,0.07514242424242422
9,1688.0,0.029063664569920933,0.467,0.325,0.467,0.325,0.09457373737373724,0.08977575757575768
10,6997.0,0.24939866379737707,0.408,0.143,0.408,0.143,0.08643535353535349,0.01999515151515154
11,3289.0,0.12084103823910364,0.44,0.203,0.44,0.203,0.08198464646464639,0.04827232323232321
12,4695.0,0.23833885564496549,0.385,0.124,0.385,0.124,0.0795408080808081,0.017894141414141397
13,3857.0,0.1424724049672893,0.382,0.168,0.382,0.168,0.0784880808080808,0.05365737373737365
14,5964.0,0.27830465828244877,0.408,0.148,0.408,0.148,0.08971959595959601,0.01977535353535353
15,3240.0,0.12084103823910364,0.44,0.203,0.44,0.203,0.08198464646464639,0.04827232323232321
16,3517.0,0.13973430640194107,0.42,0.188,0.42,0.188,0.08028323232323235,0.04720646464646465
17,4174.0,0.19594332705671624,0.444,0.16,0.444,0.16,0.08963717171717163,0.023314747474747505
18,7915.0,0.293639168237956,0.402,0.132,0.402,0.132,0.08593515151515159,0.02008565656565657
19,5359.0,0.29908802291107317,0.408,0.125,0.408,0.125,0.08426343434343431,0.016704646464646446
20,7833.0,0.293639168237956,0.402,0.132,0.402,0.132,0.08593515151515159,0.02008565656565657
21,6096.0,0.27830465828244877,0.408,0.148,0.408,0.148,0.08971959595959601,0.01977535353535353
22,3834.0,0.09916222696428845,0.418,0.195,0.418,0.195,0.0849094949494949,0.05307717171717165
23,2885.0,0.08436590889791507,0.418,0.238,0.418,0.238,0.08571030303030298,0.06025838383838384
24,4466.0,0.2535793153464422,0.385,0.155,0.385,0.155,0.08706101010101011,0.02285898989898992
25,5466.0,0.29908802291107317,0.408,0.125,0.408,0.125,0.08426343434343431,0.016704646464646446
26,1665.0,0.015506693787822767,0.436,0.303,0.436,0.303,0.08539757575757574,0.08078767676767681
27,4365.0,0.25237361065175723,0.35,0.101,0.35,0.101,0.07506383838383841,0.014926868686868664
28,2421.0,0.10082777096755724,0.438,0.293,0.438,0.293,0.0887969696969697,0.0648492929292929
29,6237.0,0.22307798493851416,0.381,0.135,0.381,0.135,0.07789656565656572,0.01918060606060607
30,5319.0,0.29908802291107317,0.408,0.125,0.408,0.125,0.08426343434343431,0.016704646464646446
31,1481.0,0.03235165761306624,0.442,0.294,0.442,0.294,0.09065111111111111,0.07987818181818182
32,4396.0,0.2535793153464422,0.385,0.155,0.385,0.155,0.08706101010101011,0.02285898989898992
33,6112.0,0.27830465828244877,0.408,0.148,0.408,0.148,0.08971959595959601,0.01977535353535353
34,6667.0,0.23756326636636294,0.383,0.127,0.383,0.127,0.08492666666666668,0.019316363636363642
35,6185.0,0.22281145181017048,0.416,0.145,0.416,0.145,0.09517898989898983,0.021094141414141416
36,2840.0,0.08451770682645987,0.441,0.225,0.441,0.225,0.08590444444444437,0.059988888888888876
37,4709.0,0.23833885564496549,0.385,0.124,0.385,0.124,0.0795408080808081,0.017894141414141397
38,5574.0,0.27830465828244877,0.408,0.148,0.408,0.148,0.08971959595959601,0.01977535353535353
39,5251.0,0.2567248533566179,0.402,0.129,0.402,0.129,0.08226060606060606,0.020680404040404044
40,5562.0,0.29908802291107317,0.408,0.125,0.408,0.125,0.08426343434343431,0.016704646464646446
41,1506.0,0.03235165761306624,0.442,0.294,0.442,0.294,0.09065111111111111,0.07987818181818182
42,6603.0,0.23756326636636294,0.383,0.127,0.383,0.127,0.08492666666666668,0.019316363636363642
43,1603.0,0.015506693787822767,0.436,0.303,0.436,0.303,0.08539757575757574,0.08078767676767681
44,4520.0,0.2535793153464422,0.385,0.155,0.385,0.155,0.08706101010101011,0.02285898989898992
45,4397.0,0.2535793153464422,0.385,0.155,0.385,0.155,0.08706101010101011,0.02285898989898992
46,2245.0,0.10096901206668452,0.423,0.205,0.423,0.205,0.07742949494949498,0.042158383838383814
47,7202.0,0.28738943704599973,0.391,0.151,0.391,0.151,0.08577313131313138,0.02308525252525255
48,5640.0,0.27830465828244877,0.408,0.148,0.408,0.148,0.08971959595959601,0.01977535353535353
49,3080.0,0.12985076374349858,0.411,0.225,0.411,0.225,0.0879981818181818,0.048255151515151536
50,2523.0,0.0968922999503018,0.46,0.25,0.46,0.25,0.09113030303030312,0.054788686868686876
51,1075.0,0.03193790397270757,0.444,0.309,0.444,0.309,0.08246868686868682,0.07671919191919184
52,4000.0,0.215038382026849,0.441,0.186,0.441,0.186,0.09565333333333334,0.030047676767676838
53,5851.0,0.27830465828244877,0.408,0.148,0.408,0.148,0.08971959595959601,0.01977535353535353
54,1916.0,0.023781615855274163,0.418,0.273,0.418,0.273,0.0839432323232323,0.07852080808080811
55,6096.0,0.27830465828244877,0.408,0.148,0.408,0.148,0.08971959595959601,0.01977535353535353
56,6492.0,0.23756326636636294,0.383,0.127,0.383,0.127,0.08492666666666668,0.019316363636363642
57,5129.0,0.2567248533566179,0.402,0.129,0.402,0.129,0.08226060606060606,0.020680404040404044
58,7785.0,0.293639168237956,0.402,0.132,0.402,0.132,0.08593515151515159,0.02008565656565657
59,2198.0,0.10096901206668452,0.423,0.205,0.423,0.205,0.07742949494949498,0.042158383838383814
60,6939.0,0.24939866379737707,0.408,0.143,0.408,0.143,0.08643535353535349,0.01999515151515154
61,5935.0,0.27830465828244877,0.408,0.148,0.408,0.148,0.08971959595959601,0.01977535353535353
62,4345.0,0.24480370661229123,0.391,0.121,0.391,0.121,0.07020888888888893,0.01770666666666667
63,6420.0,0.23756326636636294,0.383,0.127,0.383,0.127,0.08492666666666668,0.019316363636363642
64,5532.0,0.29908802291107317,0.408,0.125,0.408,0.125,0.08426343434343431,0.016704646464646446
65,5951.0,0.27830465828244877,0.408,0.148,0.408,0.148,0.08971959595959601,0.01977535353535353
66,2384.0,0.10082777096755724,0.438,0.293,0.438,0.293,0.0887969696969697,0.0648492929292929
67,7035.0,0.2244935571251988,0.41,0.136,0.41,0.136,0.08184141414141415,0.02047353535353536
68,5213.0,0.2567248533566179,0.402,0.129,0.402,0.129,0.08226060606060606,0.020680404040404044
69,2489.0,0.09110622361837428,0.486,0.302,0.486,0.302,0.10111676767676749,0.07357676767676757
70,2184.0,0.10096901206668452,0.423,0.205,0.423,0.205,0.07742949494949498,0.042158383838383814
71,7646.0,0.2590823219419792,0.389,0.161,0.389,0.161,0.09612101010101012,0.023621818181818206
72,2636.0,0.12179125602379326,0.439,0.225,0.439,0.225,0.0894868686868686,0.04692949494949495
73,2335.0,0.10096901206668452,0.423,0.205,0.423,0.205,0.07742949494949498,0.042158383838383814
74,3383.0,0.13973430640194107,0.42,0.188,0.42,0.188,0.08028323232323235,0.04720646464646465
75,4495.0,0.2535793153464422,0.385,0.155,0.385,0.155,0.08706101010101011,0.02285898989898992
76,2134.0,0.07692266340193143,0.426,0.255,0.426,0.255,0.09018888888888887,0.05758626262626261
77,2204.0,0.10096901206668452,0.423,0.205,0.423,0.205,0.07742949494949498,0.042158383838383814
78,7516.0,0.2590823219419792,0.389,0.161,0.389,0.161,0.09612101010101012,0.023621818181818206
79,3725.0,0.10542791708543142,0.421,0.183,0.421,0.183,0.08849232323232321,0.04775272727272727
80,3444.0,0.13973430640194107,0.42,0.188,0.42,0.188,0.08028323232323235,0.04720646464646465
81,6970.0,0.24939866379737707,0.408,0.143,0.408,0.143,0.08643535353535349,0.01999515151515154
82,3330.0,0.12084103823910364,0.44,0.203,0.44,0.203,0.08198464646464639,0.04827232323232321
83,4926.0,0.27513812656913395,0.428,0.141,0.428,0.141,0.08764181818181821,0.021902222222222236
84,4154.0,0.215038382026849,0.441,0.186,0.441,0.186,0.09565333333333334,0.030047676767676838
85,7344.0,0.26544957137565894,0.395,0.126,0.395,0.126,0.08599393939393932,0.019206464646464635
86,6512.0,0.23756326636636294,0.383,0.127,0.383,0.127,0.08492666666666668,0.019316363636363642
87,1178.0,0.03193790397270757,0.444,0.309,0.444,0.309,0.08246868686868682,0.07671919191919184
88,2663.0,0.12179125602379326,0.439,0.225,0.439,0.225,0.0894868686868686,0.04692949494949495
89,1021.0,0.029495749788047143,0.476,0.291,0.476,0.291,0.09600565656565666,0.08089777777777772
90,6917.0,0.24939866379737707,0.408,0.143,0.408,0.143,0.08643535353535349,0.01999515151515154
91,1463.0,0.03235165761306624,0.442,0.294,0.442,0.294,0.09065111111111111,0.07987818181818182
92,6591.0,0.23756326636636294,0.383,0.127,0.383,0.127,0.08492666666666668,0.019316363636363642
93,6985.0,0.24939866379737707,0.408,0.143,0.408,0.143,0.08643535353535349,0.01999515151515154
94,1713.0,0.04340047970449079,0.456,0.271,0.456,0.271,0.0898759595959596,0.07514242424242422
95,3449.0,0.13973430640194107,0.42,0.188,0.42,0.188,0.08028323232323235,0.04720646464646465
96,2375.0,0.10082777096755724,0.438,0.293,0.438,0.293,0.0887969696969697,0.0648492929292929
97,1646.0,0.015506693787822767,0.436,0.303,0.436,0.303,0.08539757575757574,0.08078767676767681
98,2177.0,0.10096901206668452,0.423,0.205,0.423,0.205,0.07742949494949498,0.042158383838383814
99,3539.0,0.13973430640194107,0.42,0.188,0.42,0.188,0.08028323232323235,0.04720646464646465
100,2216.0,0.10096901206668452,0.423,0.205,0.423,0.205,0.07742949494949498,0.042158383838383814
101,5388.0,0.29908802291107317,0.408,0.125,0.408,0.125,0.08426343434343431,0.016704646464646446
102,2832.0,0.08451770682645987,0.441,0.225,0.441,0.225,0.08590444444444437,0.059988888888888876
103,6715.0,0.26570863575181913,0.416,0.133,0.416,0.133,0.08864000000000001,0.02035717171717172
104,7405.0,0.26544957137565894,0.395,0.126,0.395,0.126,0.08599393939393932,0.019206464646464635
105,7075.0,0.238173372744654,0.41,0.136,0.41,0.136,0.08495535353535341,0.01863757575757576
106,7122.0,0.28738943704599973,0.391,0.151,0.391,0.151,0.08577313131313138,0.02308525252525255
107,4430.0,0.2535793153464422,0.385,0.155,0.385,0.155,0.08706101010101011,0.02285898989898992
108,3968.0,0.1424724049672893,0.382,0.168,0.382,0.168,0.0784880808080808,0.05365737373737365
109,6807.0,0.24939866379737707,0.408,0.143,0.408,0.143,0.08643535353535349,0.01999515151515154
110,3462.0,0.13973430640194107,0.42,0.188,0.42,0.188,0.08028323232323235,0.04720646464646465
111,6792.0,0.24939866379737707,0.408,0.143,0.408,0.143,0.08643535353535349,0.01999515151515154
112,3054.0,0.07580585210041602,0.405,0.206,0.405,0.206,0.07908121212121214,0.055840606060606056
113,1008.0,0.029495749788047143,0.476,0.291,0.476,0.291,0.09600565656565666,0.08089777777777772
114,1035.0,0.029495749788047143,0.476,0.291,0.476,0.291,0.09600565656565666,0.08089777777777772
115,1300.0,0.03360946671424536,0.416,0.266,0.416,0.266,0.07134080808080814,0.062352525252525284
116,4780.0,0.23833885564496549,0.385,0.124,0.385,0.124,0.0795408080808081,0.017894141414141397
117,3826.0,0.09916222696428845,0.418,0.195,0.418,0.195,0.0849094949494949,0.05307717171717165
118,4959.0,0.27513812656913395,0.428,0.141,0.428,0.141,0.08764181818181821,0.021902222222222236
119,6047.0,0.27830465828244877,0.408,0.148,0.408,0.148,0.08971959595959601,0.01977535353535353
120,3609.0,0.10579482100802418,0.418,0.186,0.418,0.186,0.08879494949494948,0.048000808080808074
121,4960.0,0.27513812656913395,0.428,0.141,0.428,0.141,0.08764181818181821,0.021902222222222236
122,1579.0,0.015506693787822767,0.436,0.303,0.436,0.303,0.08539757575757574,0.08078767676767681
123,1967.0,0.048354678288047626,0.403,0.239,0.403,0.239,0.08070080808080804,0.06603555555555554
124,2514.0,0.0968922999503018,0.46,0.25,0.46,0.25,0.09113030303030312,0.054788686868686876
125,5281.0,0.29908802291107317,0.408,0.125,0.408,0.125,0.08426343434343431,0.016704646464646446
126,5065.0,0.27513812656913395,0.428,0.141,0.428,0.141,0.08764181818181821,0.021902222222222236
127,7131.0,0.28738943704599973,0.391,0.151,0.391,0.151,0.08577313131313138,0.02308525252525255
128,2961.0,0.07580585210041602,0.405,0.206,0.405,0.206,0.07908121212121214,0.055840606060606056
129,3768.0,0.13974863055969267,0.428,0.154,0.428,0.154,0.08352727272727273,0.03626424242424248
130,7141.0,0.28738943704599973,0.391,0.151,0.391,0.151,0.08577313131313138,0.02308525252525255
131,5716.0,0.27830465828244877,0.408,0.148,0.408,0.148,0.08971959595959601,0.01977535353535353
132,2648.0,0.12179125602379326,0.439,0.225,0.439,0.225,0.0894868686868686,0.04692949494949495
133,7538.0,0.2590823219419792,0.389,0.161,0.389,0.161,0.09612101010101012,0.023621818181818206
134,5724.0,0.27830465828244877,0.408,0.148,0.408,0.148,0.08971959595959601,0.01977535353535353
135,2822.0,0.08451770682645987,0.441,0.225,0.441,0.225,0.08590444444444437,0.059988888888888876
136,7454.0,0.26544957137565894,0.395,0.126,0.395,0.126,0.08599393939393932,0.019206464646464635
137,4792.0,0.23833885564496549,0.385,0.124,0.385,0.124,0.0795408080808081,0.017894141414141397
138,5020.0,0.27513812656913395,0.428,0.141,0.428,0.141,0.08764181818181821,0.021902222222222236
139,7727.0,0.293639168237956,0.402,0.132,0.402,0.132,0.08593515151515159,0.02008565656565657
140,2139.0,0.07692266340193143,0.426,0.255,0.426,0.255,0.09018888888888887,0.05758626262626261
141,6472.0,0.23756326636636294,0.383,0.127,0.383,0.127,0.08492666666666668,0.019316363636363642
142,7596.0,0.2590823219419792,0.389,0.161,0.389,0.161,0.09612101010101012,0.023621818181818206
143,6345.0,0.23756326636636294,0.383,0.127,0.383,0.127,0.08492666666666668,0.019316363636363642
144,3705.0,0.10542791708543142,0.421,0.183,0.421,0.183,0.08849232323232321,0.04775272727272727
145,4145.0,0.215038382026849,0.441,0.186,0.441,0.186,0.09565333333333334,0.030047676767676838
146,2195.0,0.10096901206668452,0.423,0.205,0.423,0.205,0.07742949494949498,0.042158383838383814
147,4110.0,0.215038382026849,0.441,0.186,0.441,0.186,0.09565333333333334,0.030047676767676838
148,4362.0,0.25237361065175723,0.35,0.101,0.35,0.101,0.07506383838383841,0.014926868686868664
149,3132.0,0.14756511392554017,0.411,0.209,0.411,0.209,0.07619616161616158,0.04620282828282829
150,5285.0,0.29908802291107317,0.408,0.125,0.408,0.125,0.08426343434343431,0.016704646464646446
151,4899.0,0.27513812656913395,0.428,0.141,0.428,0.141,0.08764181818181821,0.021902222222222236
152,3322.0,0.12084103823910364,0.44,0.203,0.44,0.203,0.08198464646464639,0.04827232323232321
153,1968.0,0.048354678288047626,0.403,0.239,0.403,0.239,0.08070080808080804,0.06603555555555554
154,1065.0,0.03193790397270757,0.444,0.309,0.444,0.309,0.08246868686868682,0.07671919191919184
155,1681.0,0.029063664569920933,0.467,0.325,0.467,0.325,0.09457373737373724,0.08977575757575768
156,3903.0,0.1424724049672893,0.382,0.168,0.382,0.168,0.0784880808080808,0.05365737373737365
157,7689.0,0.2590823219419792,0.389,0.161,0.389,0.161,0.09612101010101012,0.023621818181818206
158,7327.0,0.28738943704599973,0.391,0.151,0.391,0.151,0.08577313131313138,0.02308525252525255
159,3698.0,0.10542791708543142,0.421,0.183,0.421,0.183,0.08849232323232321,0.04775272727272727
160,4332.0,0.24480370661229123,0.391,0.121,0.391,0.121,0.07020888888888893,0.01770666666666667
161,3368.0,0.12084103823910364,0.44,0.203,0.44,0.203,0.08198464646464639,0.04827232323232321
162,2254.0,0.10096901206668452,0.423,0.205,0.423,0.205,0.07742949494949498,0.042158383838383814
