==================================================================
fastsimcoal started on 26/06/2025 at 16:01:54

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
0	1	data unknown	442.78	0	0
1	1	data unknown	238.747	0	0
2	1	data unknown	1458.6	0	0
3	1	data unknown	132.057	0	0
4	1	data unknown	44.8532	0	0
5	1	data unknown	974.464	0	0
6	1	data unknown	402.969	0	0
7	1	data unknown	7758.09	0	0
8	1	data unknown	852.28	0	0
9	1	data unknown	970.299	0	0
10	1	data unknown	2573.54	0	0
11	1	data unknown	486.359	0	0
12	1	data unknown	1823.86	0	0
13	1	data unknown	3979.97	0	0
14	1	data unknown	179.016	0	0
15	1	data unknown	1044.71	0	0
16	1	data unknown	266.762	0	0
17	1	data unknown	3210.48	0	0
18	1	data unknown	315.941	0	0
19	1	data unknown	791.092	0	0
20	1	data unknown	960.487	0	0
21	1	data unknown	1669.96	0	0
22	1	data unknown	592.545	0	0
23	1	data unknown	2132.26	0	0
24	1	data unknown	6238.99	0	0
25	1	data unknown	90.6219	0	0
26	1	data unknown	624.374	0	0
27	1	data unknown	1123.71	0	0
28	1	data unknown	933.823	0	0
29	1	data unknown	1240.96	0	0
30	1	data unknown	521.469	0	0
31	1	data unknown	552.574	0	0
32	1	data unknown	2198.63	0	0
33	1	data unknown	2253.27	0	0
34	1	data unknown	419.083	0	0
35	1	data unknown	1231.36	0	0
36	1	data unknown	542.564	0	0
37	1	data unknown	3376.84	0	0
38	1	data unknown	866.875	0	0
39	1	data unknown	320.32	0	0
40	1	data unknown	72.6318	0	0
41	1	data unknown	2952.84	0	0
42	1	data unknown	7295.78	0	0
43	1	data unknown	2470.77	0	0
44	1	data unknown	99.3805	0	0
45	1	data unknown	221.26	0	0
46	1	data unknown	2987.26	0	0
47	1	data unknown	322.563	0	0
48	1	data unknown	100.296	0	0
49	1	data unknown	1878.29	0	0
50	1	data unknown	59.2575	0	0
51	1	data unknown	1010.33	0	0
52	1	data unknown	141.968	0	0
53	1	data unknown	81.3217	0	0
54	1	data unknown	2065.69	0	0
55	1	data unknown	894.623	0	0
56	1	data unknown	3483.41	0	0
57	1	data unknown	1802.81	0	0
58	1	data unknown	1322.75	0	0
59	1	data unknown	1351.31	0	0
60	1	data unknown	655.052	0	0
61	1	data unknown	438.683	0	0
62	1	data unknown	1557.66	0	0
63	1	data unknown	795.7	0	0
64	1	data unknown	1481.32	0	0
65	1	data unknown	2295.23	0	0
66	1	data unknown	1565.61	0	0
67	1	data unknown	2585.53	0	0
68	1	data unknown	187.065	0	0
69	1	data unknown	4543.33	0	0
70	1	data unknown	759.819	0	0
71	1	data unknown	1104.1	0	0
72	1	data unknown	422.577	0	0
73	1	data unknown	1750.89	0	0
74	1	data unknown	1033.62	0	0
75	1	data unknown	8796.07	0	0
76	1	data unknown	1612.21	0	0
77	1	data unknown	1033.2	0	0
78	1	data unknown	1641.08	0	0
79	1	data unknown	1551.53	0	0
80	1	data unknown	1785.58	0	0
81	1	data unknown	1612.24	0	0
82	1	data unknown	534.515	0	0
83	1	data unknown	2289.39	0	0
84	1	data unknown	1476.14	0	0
85	1	data unknown	292.366	0	0
86	1	data unknown	612.183	0	0
87	1	data unknown	3811.36	0	0
88	1	data unknown	1033.33	0	0
89	1	data unknown	3897.77	0	0
90	1	data unknown	301.659	0	0
91	1	data unknown	4670.36	0	0
92	1	data unknown	740.883	0	0
93	1	data unknown	100.204	0	0
94	1	data unknown	7.59125	0	0
95	1	data unknown	5269.68	0	0
96	1	data unknown	643.86	0	0
97	1	data unknown	7.95746	0	0
98	1	data unknown	5914.23	0	0
99	1	data unknown	279.16	0	0
100	1	data unknown	730.98	0	0
101	1	data unknown	615.685	0	0
102	1	data unknown	6389.76	0	0
103	1	data unknown	2283.34	0	0
104	1	data unknown	1817.49	0	0
105	1	data unknown	4088.18	0	0
106	1	data unknown	3942.4	0	0
107	1	data unknown	1902.8	0	0
108	1	data unknown	6029.31	0	0
109	1	data unknown	3336.5	0	0
110	1	data unknown	3417.85	0	0
111	1	data unknown	1597.02	0	0
112	1	data unknown	4206.67	0	0
113	1	data unknown	1796.23	0	0
114	1	data unknown	165.428	0	0
115	1	data unknown	594.391	0	0
116	1	data unknown	915.382	0	0
117	1	data unknown	3958.98	0	0
118	1	data unknown	372.177	0	0
119	1	data unknown	979.622	0	0
120	1	data unknown	974.487	0	0
121	1	data unknown	3877.88	0	0
122	1	data unknown	803.764	0	0
123	1	data unknown	10.5362	0	0
124	1	data unknown	4061.84	0	0
125	1	data unknown	1300.17	0	0
126	1	data unknown	1209.49	0	0
127	1	data unknown	2726.81	0	0
128	1	data unknown	2552.55	0	0
129	1	data unknown	2460.57	0	0
130	1	data unknown	1307.24	0	0
131	1	data unknown	3625.65	0	0
132	1	data unknown	1585.37	0	0
133	1	data unknown	1655.01	0	0
134	1	data unknown	267.876	0	0
135	1	data unknown	4597.4	0	0
136	1	data unknown	818.687	0	0
137	1	data unknown	1259.61	0	0
138	1	data unknown	376.877	0	0
139	1	data unknown	1929.43	0	0
140	1	data unknown	1989.97	0	0
141	1	data unknown	2664.07	0	0
142	1	data unknown	3260.89	0	0
143	1	data unknown	883.53	0	0
144	1	data unknown	2908.78	0	0
145	1	data unknown	549.667	0	0
146	1	data unknown	805.557	0	0
147	1	data unknown	125.351	0	0
148	1	data unknown	3266.16	0	0
149	1	data unknown	720.306	0	0
150	1	data unknown	1727.75	0	0
151	1	data unknown	6341	0	0
152	1	data unknown	814.659	0	0
153	1	data unknown	1241.8	0	0
154	1	data unknown	5992.24	0	0
155	1	data unknown	1343.73	0	0
156	1	data unknown	609.795	0	0
157	1	data unknown	3086.36	0	0
158	1	data unknown	2224.73	0	0
159	1	data unknown	707.977	0	0
160	1	data unknown	1208.51	0	0
161	1	data unknown	2657.55	0	0
162	1	data unknown	1790.89	0	0
163	1	data unknown	1629.59	0	0
164	1	data unknown	132.904	0	0
165	1	data unknown	1015.83	0	0
166	1	data unknown	4041.41	0	0
167	1	data unknown	81.8863	0	0
168	1	data unknown	453.72	0	0
169	1	data unknown	3385.09	0	0
170	1	data unknown	1116.77	0	0
171	1	data unknown	6538.19	0	0
172	1	data unknown	489.54	0	0
173	1	data unknown	931.58	0	0
174	1	data unknown	5367.36	0	0
175	1	data unknown	2572.14	0	0
176	1	data unknown	468.521	0	0
177	1	data unknown	788.933	0	0
178	1	data unknown	1268.87	0	0
179	1	data unknown	2125.65	0	0
180	1	data unknown	309.441	0	0
181	1	data unknown	1696.63	0	0
182	1	data unknown	2177.02	0	0
183	1	data unknown	1190.38	0	0
184	1	data unknown	3167.74	0	0
185	1	data unknown	571.411	0	0
186	1	data unknown	3820.52	0	0
187	1	data unknown	1553.12	0	0
188	1	data unknown	2027.43	0	0
189	1	data unknown	879.219	0	0
190	1	data unknown	1585.29	0	0
191	1	data unknown	5219.31	0	0
192	1	data unknown	8623.73	0	0
193	1	data unknown	14.3509	0	0
194	1	data unknown	3429.71	0	0
195	1	data unknown	1941.82	0	0
196	1	data unknown	2157.26	0	0
197	1	data unknown	1849.16	0	0
198	1	data unknown	485.077	0	0
199	1	data unknown	1272.19	0	0
200	1	data unknown	14510.2	0	0
201	1	data unknown	77.3468	0	0
202	1	data unknown	141.342	0	0
203	1	data unknown	3571.46	0	0
204	1	data unknown	9032.44	0	0
205	1	data unknown	3514.54	0	0
206	1	data unknown	473.312	0	0
207	1	data unknown	984.978	0	0
208	1	data unknown	3171.05	0	0
209	1	data unknown	1025.85	0	0
210	1	data unknown	1612.51	0	0
211	1	data unknown	2455.45	0	0
212	1	data unknown	961.166	0	0
213	1	data unknown	849.373	0	0
214	1	data unknown	1651.22	0	0
215	1	data unknown	694.649	0	0
216	1	data unknown	2942.53	0	0
217	1	data unknown	2095.95	0	0
218	1	data unknown	3535.42	0	0
219	1	data unknown	1689.06	0	0
220	1	data unknown	1226.62	0	0
221	1	data unknown	697.495	0	0
222	1	data unknown	1574.1	0	0
223	1	data unknown	1795.97	0	0
224	1	data unknown	453.987	0	0
225	1	data unknown	2103.61	0	0
226	1	data unknown	1399.94	0	0
227	1	data unknown	824.791	0	0
228	1	data unknown	1021.85	0	0
229	1	data unknown	2418.53	0	0
230	1	data unknown	491.005	0	0
231	1	data unknown	1278.12	0	0
232	1	data unknown	40.3366	0	0
233	1	data unknown	5792.23	0	0
234	1	data unknown	995.575	0	0
235	1	data unknown	899.139	0	0
236	1	data unknown	1233.15	0	0
237	1	data unknown	2911.02	0	0
238	1	data unknown	3642.75	0	0
239	1	data unknown	2780.49	0	0
240	1	data unknown	2015.38	0	0
241	1	data unknown	1915.53	0	0
242	1	data unknown	1277.46	0	0
243	1	data unknown	58.5022	0	0
244	1	data unknown	1122.58	0	0
245	1	data unknown	376.999	0	0
246	1	data unknown	621.239	0	0
247	1	data unknown	946.22	0	0
248	1	data unknown	67.5278	0	0
249	1	data unknown	0.732422	0	0
250	1	data unknown	2708.43	0	0
251	1	data unknown	6684.76	0	0
252	1	data unknown	3343.02	0	0
253	1	data unknown	3045.46	0	0
254	1	data unknown	66.4444	0	0
255	1	data unknown	36.5906	0	0
256	1	data unknown	2928.72	0	0
257	1	data unknown	972.374	0	0
258	1	data unknown	1696.23	0	0
259	1	data unknown	5471.42	0	0
260	1	data unknown	22.11	0	0
261	1	data unknown	345.276	0	0
262	1	data unknown	1652.94	0	0
263	1	data unknown	1735.49	0	0
264	1	data unknown	3234.93	0	0
265	1	data unknown	926.43	0	0
266	1	data unknown	1655.44	0	0
267	1	data unknown	747.513	0	0
268	1	data unknown	1912	0	0
269	1	data unknown	1375.83	0	0
270	1	data unknown	500.664	0	0
271	1	data unknown	949.463	0	0
272	1	data unknown	4690.45	0	0
273	1	data unknown	697.937	0	0
274	1	data unknown	265.152	0	0
275	1	data unknown	5909.11	0	0
276	1	data unknown	2706.31	0	0
277	1	data unknown	565.315	0	0
278	1	data unknown	611.61	0	0
279	1	data unknown	408.73	0	0
280	1	data unknown	735.916	0	0
281	1	data unknown	1604.1	0	0
282	1	data unknown	1473.4	0	0
283	1	data unknown	2512.38	0	0
284	1	data unknown	4950	0	0
285	1	data unknown	2598.32	0	0
286	1	data unknown	4805.92	0	0
287	1	data unknown	2806.44	0	0
288	1	data unknown	3852.29	0	0
289	1	data unknown	1403.69	0	0
290	1	data unknown	1213.4	0	0
291	1	data unknown	1706.43	0	0
292	1	data unknown	899.712	0	0
293	1	data unknown	1575.88	0	0
294	1	data unknown	1638.55	0	0
295	1	data unknown	784.348	0	0
296	1	data unknown	1710.03	0	0
297	1	data unknown	5354.52	0	0
298	1	data unknown	361.748	0	0
299	1	data unknown	5170.3	0	0
300	1	data unknown	56.5948	0	0
301	1	data unknown	3614.06	0	0
302	1	data unknown	2000.43	0	0
303	1	data unknown	8508.56	0	0
304	1	data unknown	8624.33	0	0
305	1	data unknown	1428.84	0	0
306	1	data unknown	631.653	0	0
307	1	data unknown	6484.01	0	0
308	1	data unknown	1112.04	0	0
309	1	data unknown	1204.38	0	0
310	1	data unknown	2231.83	0	0
311	1	data unknown	2182.34	0	0
312	1	data unknown	850.281	0	0
313	1	data unknown	914.742	0	0
314	1	data unknown	820.038	0	0
315	1	data unknown	429.443	0	0
316	1	data unknown	453.918	0	0
317	1	data unknown	1160.1	0	0
318	1	data unknown	2374.46	0	0
319	1	data unknown	2339.2	0	0
320	1	data unknown	2396.51	0	0
321	1	data unknown	27.2903	0	0
322	1	data unknown	4448.05	0	0
323	1	data unknown	83.4045	0	0
324	1	data unknown	2740.63	0	0
325	1	data unknown	256.256	0	0
326	1	data unknown	1881.48	0	0
327	1	data unknown	130.875	0	0
328	1	data unknown	1137.81	0	0
329	1	data unknown	1813.88	0	0
330	1	data unknown	55.0537	0	0
331	1	data unknown	293.472	0	0
332	1	data unknown	48.7442	0	0
333	1	data unknown	2005.18	0	0
334	1	data unknown	5880.85	0	0
335	1	data unknown	2302.73	0	0
336	1	data unknown	969.704	0	0
337	1	data unknown	709.77	0	0
338	1	data unknown	3984.09	0	0
339	1	data unknown	5730.12	0	0
340	1	data unknown	247.917	0	0
341	1	data unknown	1209.92	0	0
342	1	data unknown	1319.63	0	0
343	1	data unknown	439.331	0	0
344	1	data unknown	5488.04	0	0
345	1	data unknown	1253.04	0	0
346	1	data unknown	4670.9	0	0
347	1	data unknown	5728.44	0	0
348	1	data unknown	780.556	0	0
349	1	data unknown	581.955	0	0
350	1	data unknown	126.762	0	0
351	1	data unknown	2628.63	0	0
352	1	data unknown	50.1099	0	0
353	1	data unknown	2302.86	0	0
